filmId,bodyId,bodyType,result,year,section
film-001,festival-001,Festival,Official Selection,2023,Official Programme
film-001,award-001,Award,Nominated,2023,Short Film
film-002,festival-004,Festival,Official Selection,2024,New Voices
film-002,festival-015,Festival,Official Selection,2025,Animation Competition
film-003,festival-007,Festival,Official Selection,2022,Documentary Competition
film-003,festival-018,Festival,Nominated,2023,Experimental Programme
film-003,festival-029,Festival,Winner,2022,Official Programme
film-004,festival-010,Festival,Nominated,2025,Animation Competition
film-004,festival-021,Festival,Winner,2026,Audience Selection
film-004,festival-032,Festival,Special Mention,2025,New Voices
film-004,festival-003,Festival,Shortlisted,2026,Animation Competition
film-005,festival-013,Festival,Winner,2024,Experimental Programme
film-005,award-005,Award,Winner,2024,Short Film
film-006,festival-016,Festival,Special Mention,2021,Audience Selection
film-006,festival-027,Festival,Shortlisted,2022,New Voices
film-007,festival-019,Festival,Shortlisted,2025,Official Programme
film-007,festival-030,Festival,Longlisted,2026,Documentary Competition
film-007,festival-001,Festival,Official Selection,2025,Experimental Programme
film-008,festival-022,Festival,Longlisted,2023,New Voices
film-008,festival-033,Festival,Official Selection,2024,Animation Competition
film-008,festival-004,Festival,Official Selection,2023,Audience Selection
film-008,festival-015,Festival,Official Selection,2024,New Voices
film-009,festival-025,Festival,Official Selection,2020,Documentary Competition
film-009,award-009,Award,Shortlisted,2020,Short Film
film-010,festival-028,Festival,Official Selection,2022,Animation Competition
film-010,festival-039,Festival,Official Selection,2023,Audience Selection
film-011,festival-031,Festival,Official Selection,2024,Experimental Programme
film-011,festival-002,Festival,Nominated,2025,Official Programme
film-011,festival-013,Festival,Winner,2024,Documentary Competition
film-012,festival-034,Festival,Nominated,2025,Audience Selection
film-012,festival-005,Festival,Winner,2026,New Voices
film-012,festival-016,Festival,Special Mention,2025,Animation Competition
film-012,festival-027,Festival,Shortlisted,2026,Audience Selection
film-013,festival-037,Festival,Winner,2021,Official Programme
film-013,award-001,Award,Nominated,2021,Short Film
film-014,festival-040,Festival,Special Mention,2023,New Voices
film-014,festival-011,Festival,Shortlisted,2024,Animation Competition
film-015,festival-003,Festival,Shortlisted,2019,Documentary Competition
film-015,festival-014,Festival,Longlisted,2020,Experimental Programme
film-015,festival-025,Festival,Official Selection,2019,Official Programme
film-016,festival-006,Festival,Longlisted,2022,Animation Competition
film-016,festival-017,Festival,Official Selection,2023,Audience Selection
film-016,festival-028,Festival,Official Selection,2022,New Voices
film-016,festival-039,Festival,Official Selection,2023,Animation Competition
film-017,festival-009,Festival,Official Selection,2024,Experimental Programme
film-017,award-005,Award,Winner,2024,Short Film
film-018,festival-012,Festival,Official Selection,2025,Audience Selection
film-018,festival-023,Festival,Official Selection,2026,New Voices
film-019,festival-015,Festival,Official Selection,2023,Official Programme
film-019,festival-026,Festival,Nominated,2024,Documentary Competition
film-019,festival-037,Festival,Winner,2023,Experimental Programme
film-020,festival-018,Festival,Nominated,2020,New Voices
film-020,festival-029,Festival,Winner,2021,Animation Competition
film-020,festival-040,Festival,Special Mention,2020,Audience Selection
film-020,festival-011,Festival,Shortlisted,2021,New Voices
film-021,festival-021,Festival,Winner,2021,Documentary Competition
film-021,award-009,Award,Shortlisted,2021,Short Film
film-022,festival-024,Festival,Special Mention,2025,Animation Competition
film-022,festival-035,Festival,Shortlisted,2026,Audience Selection
film-023,festival-027,Festival,Shortlisted,2024,Experimental Programme
film-023,festival-038,Festival,Longlisted,2025,Official Programme
film-023,festival-009,Festival,Official Selection,2024,Documentary Competition
film-024,festival-030,Festival,Longlisted,2022,Audience Selection
film-024,festival-001,Festival,Official Selection,2023,New Voices
film-024,festival-012,Festival,Official Selection,2022,Animation Competition
film-024,festival-023,Festival,Official Selection,2023,Audience Selection
film-025,festival-033,Festival,Official Selection,2015,Official Programme
film-025,award-001,Award,Nominated,2015,Short Film
film-026,festival-036,Festival,Official Selection,2022,New Voices
film-026,festival-007,Festival,Official Selection,2023,Animation Competition
film-027,festival-039,Festival,Official Selection,2010,Documentary Competition
film-027,festival-010,Festival,Nominated,2011,Experimental Programme
film-027,festival-021,Festival,Winner,2010,Official Programme
film-028,festival-002,Festival,Nominated,2016,Animation Competition
film-028,festival-013,Festival,Winner,2017,Audience Selection
film-028,festival-024,Festival,Special Mention,2016,New Voices
film-028,festival-035,Festival,Shortlisted,2017,Animation Competition
film-029,festival-005,Festival,Winner,2023,Experimental Programme
film-029,award-005,Award,Winner,2023,Short Film
film-030,festival-008,Festival,Special Mention,2010,Audience Selection
film-030,festival-019,Festival,Shortlisted,2011,New Voices
film-031,festival-011,Festival,Shortlisted,2017,Official Programme
film-031,festival-022,Festival,Longlisted,2018,Documentary Competition
film-031,festival-033,Festival,Official Selection,2017,Experimental Programme
film-032,festival-014,Festival,Longlisted,2024,New Voices
film-032,festival-025,Festival,Official Selection,2025,Animation Competition
film-032,festival-036,Festival,Official Selection,2024,Audience Selection
film-032,festival-007,Festival,Official Selection,2025,New Voices
film-033,festival-017,Festival,Official Selection,2011,Documentary Competition
film-033,award-009,Award,Shortlisted,2011,Short Film
film-034,festival-020,Festival,Official Selection,2018,Animation Competition
film-034,festival-031,Festival,Official Selection,2019,Audience Selection
film-035,festival-023,Festival,Official Selection,2025,Experimental Programme
film-035,festival-034,Festival,Nominated,2026,Official Programme
film-035,festival-005,Festival,Winner,2025,Documentary Competition
film-036,festival-026,Festival,Nominated,2012,Audience Selection
film-036,festival-037,Festival,Winner,2013,New Voices
film-036,festival-008,Festival,Special Mention,2012,Animation Competition
film-036,festival-019,Festival,Shortlisted,2013,Audience Selection
film-037,festival-029,Festival,Winner,2019,Official Programme
film-037,award-001,Award,Nominated,2019,Short Film
film-038,festival-032,Festival,Special Mention,2026,New Voices
film-038,festival-003,Festival,Shortlisted,2027,Animation Competition
film-039,festival-035,Festival,Shortlisted,2013,Documentary Competition
film-039,festival-006,Festival,Longlisted,2014,Experimental Programme
film-039,festival-017,Festival,Official Selection,2013,Official Programme
film-040,festival-038,Festival,Longlisted,2020,Animation Competition
film-040,festival-009,Festival,Official Selection,2021,Audience Selection
film-040,festival-020,Festival,Official Selection,2020,New Voices
film-040,festival-031,Festival,Official Selection,2021,Animation Competition
film-041,festival-001,Festival,Official Selection,2010,Experimental Programme
film-041,award-005,Award,Winner,2010,Short Film
film-042,festival-004,Festival,Official Selection,2014,Audience Selection
film-042,festival-015,Festival,Official Selection,2015,New Voices
film-043,festival-007,Festival,Official Selection,2021,Official Programme
film-043,festival-018,Festival,Nominated,2022,Documentary Competition
film-043,festival-029,Festival,Winner,2021,Experimental Programme
film-044,festival-010,Festival,Nominated,2010,New Voices
film-044,festival-021,Festival,Winner,2011,Animation Competition
film-044,festival-032,Festival,Special Mention,2010,Audience Selection
film-044,festival-003,Festival,Shortlisted,2011,New Voices
film-045,festival-013,Festival,Winner,2015,Documentary Competition
film-045,award-009,Award,Shortlisted,2015,Short Film
film-046,festival-016,Festival,Special Mention,2022,Animation Competition
film-046,festival-027,Festival,Shortlisted,2023,Audience Selection
film-047,festival-019,Festival,Shortlisted,2010,Experimental Programme
film-047,festival-030,Festival,Longlisted,2011,Official Programme
film-047,festival-001,Festival,Official Selection,2010,Documentary Competition
film-048,festival-022,Festival,Longlisted,2016,Audience Selection
film-048,festival-033,Festival,Official Selection,2017,New Voices
film-048,festival-004,Festival,Official Selection,2016,Animation Competition
film-048,festival-015,Festival,Official Selection,2017,Audience Selection
film-049,festival-025,Festival,Official Selection,2023,Official Programme
film-049,award-001,Award,Nominated,2023,Short Film
film-050,festival-028,Festival,Official Selection,2010,New Voices
film-050,festival-039,Festival,Official Selection,2011,Animation Competition
film-051,festival-031,Festival,Official Selection,2017,Documentary Competition
film-051,festival-002,Festival,Nominated,2018,Experimental Programme
film-051,festival-013,Festival,Winner,2017,Official Programme
film-052,festival-034,Festival,Nominated,2024,Animation Competition
film-052,festival-005,Festival,Winner,2025,Audience Selection
film-052,festival-016,Festival,Special Mention,2024,New Voices
film-052,festival-027,Festival,Shortlisted,2025,Animation Competition
film-053,festival-037,Festival,Winner,2011,Experimental Programme
film-053,award-005,Award,Winner,2011,Short Film
film-054,festival-040,Festival,Special Mention,2018,Audience Selection
film-054,festival-011,Festival,Shortlisted,2019,New Voices
film-055,festival-003,Festival,Shortlisted,2025,Official Programme
film-055,festival-014,Festival,Longlisted,2026,Documentary Competition
film-055,festival-025,Festival,Official Selection,2025,Experimental Programme
film-056,festival-006,Festival,Longlisted,2012,New Voices
film-056,festival-017,Festival,Official Selection,2013,Animation Competition
film-056,festival-028,Festival,Official Selection,2012,Audience Selection
film-056,festival-039,Festival,Official Selection,2013,New Voices
film-057,festival-009,Festival,Official Selection,2019,Documentary Competition
film-057,award-009,Award,Shortlisted,2019,Short Film
film-058,festival-012,Festival,Official Selection,2026,Animation Competition
film-058,festival-023,Festival,Official Selection,2027,Audience Selection
film-059,festival-015,Festival,Official Selection,2013,Experimental Programme
film-059,festival-026,Festival,Nominated,2014,Official Programme
film-059,festival-037,Festival,Winner,2013,Documentary Competition
film-060,festival-018,Festival,Nominated,2020,Audience Selection
film-060,festival-029,Festival,Winner,2021,New Voices
film-060,festival-040,Festival,Special Mention,2020,Animation Competition
film-060,festival-011,Festival,Shortlisted,2021,Audience Selection
film-061,festival-021,Festival,Winner,2010,Official Programme
film-061,award-001,Award,Nominated,2010,Short Film
film-062,festival-024,Festival,Special Mention,2014,New Voices
film-062,festival-035,Festival,Shortlisted,2015,Animation Competition
film-063,festival-027,Festival,Shortlisted,2021,Documentary Competition
film-063,festival-038,Festival,Longlisted,2022,Experimental Programme
film-063,festival-009,Festival,Official Selection,2021,Official Programme
film-064,festival-030,Festival,Longlisted,2010,Animation Competition
film-064,festival-001,Festival,Official Selection,2011,Audience Selection
film-064,festival-012,Festival,Official Selection,2010,New Voices
film-064,festival-023,Festival,Official Selection,2011,Animation Competition
film-065,festival-033,Festival,Official Selection,2015,Experimental Programme
film-065,award-005,Award,Winner,2015,Short Film
film-066,festival-036,Festival,Official Selection,2022,Audience Selection
film-066,festival-007,Festival,Official Selection,2023,New Voices
film-067,festival-039,Festival,Official Selection,2010,Official Programme
film-067,festival-010,Festival,Nominated,2011,Documentary Competition
film-067,festival-021,Festival,Winner,2010,Experimental Programme
film-068,festival-002,Festival,Nominated,2016,New Voices
film-068,festival-013,Festival,Winner,2017,Animation Competition
film-068,festival-024,Festival,Special Mention,2016,Audience Selection
film-068,festival-035,Festival,Shortlisted,2017,New Voices
film-069,festival-005,Festival,Winner,2023,Documentary Competition
film-069,award-009,Award,Shortlisted,2023,Short Film
film-070,festival-008,Festival,Special Mention,2010,Animation Competition
film-070,festival-019,Festival,Shortlisted,2011,Audience Selection
film-071,festival-011,Festival,Shortlisted,2017,Experimental Programme
film-071,festival-022,Festival,Longlisted,2018,Official Programme
film-071,festival-033,Festival,Official Selection,2017,Documentary Competition
film-072,festival-014,Festival,Longlisted,2024,Audience Selection
film-072,festival-025,Festival,Official Selection,2025,New Voices
film-072,festival-036,Festival,Official Selection,2024,Animation Competition
film-072,festival-007,Festival,Official Selection,2025,Audience Selection
film-073,festival-017,Festival,Official Selection,2011,Official Programme
film-073,award-001,Award,Nominated,2011,Short Film
film-074,festival-020,Festival,Official Selection,2018,New Voices
film-074,festival-031,Festival,Official Selection,2019,Animation Competition
film-075,festival-023,Festival,Official Selection,2025,Documentary Competition
film-075,festival-034,Festival,Nominated,2026,Experimental Programme
film-075,festival-005,Festival,Winner,2025,Official Programme
film-076,festival-026,Festival,Nominated,2012,Animation Competition
film-076,festival-037,Festival,Winner,2013,Audience Selection
film-076,festival-008,Festival,Special Mention,2012,New Voices
film-076,festival-019,Festival,Shortlisted,2013,Animation Competition
film-077,festival-029,Festival,Winner,2019,Experimental Programme
film-077,award-005,Award,Winner,2019,Short Film
film-078,festival-032,Festival,Special Mention,2026,Audience Selection
film-078,festival-003,Festival,Shortlisted,2027,New Voices
film-079,festival-035,Festival,Shortlisted,2013,Official Programme
film-079,festival-006,Festival,Longlisted,2014,Documentary Competition
film-079,festival-017,Festival,Official Selection,2013,Experimental Programme
film-080,festival-038,Festival,Longlisted,2020,New Voices
film-080,festival-009,Festival,Official Selection,2021,Animation Competition
film-080,festival-020,Festival,Official Selection,2020,Audience Selection
film-080,festival-031,Festival,Official Selection,2021,New Voices
film-081,festival-001,Festival,Official Selection,2010,Documentary Competition
film-081,award-009,Award,Shortlisted,2010,Short Film
film-082,festival-004,Festival,Official Selection,2014,Animation Competition
film-082,festival-015,Festival,Official Selection,2015,Audience Selection
film-083,festival-007,Festival,Official Selection,2021,Experimental Programme
film-083,festival-018,Festival,Nominated,2022,Official Programme
film-083,festival-029,Festival,Winner,2021,Documentary Competition
film-084,festival-010,Festival,Nominated,2010,Audience Selection
film-084,festival-021,Festival,Winner,2011,New Voices
film-084,festival-032,Festival,Special Mention,2010,Animation Competition
film-084,festival-003,Festival,Shortlisted,2011,Audience Selection
film-085,festival-013,Festival,Winner,2015,Official Programme
film-085,award-001,Award,Nominated,2015,Short Film
film-086,festival-016,Festival,Special Mention,2022,New Voices
film-086,festival-027,Festival,Shortlisted,2023,Animation Competition
film-087,festival-019,Festival,Shortlisted,2010,Documentary Competition
film-087,festival-030,Festival,Longlisted,2011,Experimental Programme
film-087,festival-001,Festival,Official Selection,2010,Official Programme
film-088,festival-022,Festival,Longlisted,2016,Animation Competition
film-088,festival-033,Festival,Official Selection,2017,Audience Selection
film-088,festival-004,Festival,Official Selection,2016,New Voices
film-088,festival-015,Festival,Official Selection,2017,Animation Competition
film-089,festival-025,Festival,Official Selection,2023,Experimental Programme
film-089,award-005,Award,Winner,2023,Short Film
film-090,festival-028,Festival,Official Selection,2010,Audience Selection
film-090,festival-039,Festival,Official Selection,2011,New Voices
film-091,festival-031,Festival,Official Selection,2017,Official Programme
film-091,festival-002,Festival,Nominated,2018,Documentary Competition
film-091,festival-013,Festival,Winner,2017,Experimental Programme
film-092,festival-034,Festival,Nominated,2024,New Voices
film-092,festival-005,Festival,Winner,2025,Animation Competition
film-092,festival-016,Festival,Special Mention,2024,Audience Selection
film-092,festival-027,Festival,Shortlisted,2025,New Voices
film-093,festival-037,Festival,Winner,2011,Documentary Competition
film-093,award-009,Award,Shortlisted,2011,Short Film
film-094,festival-040,Festival,Special Mention,2018,Animation Competition
film-094,festival-011,Festival,Shortlisted,2019,Audience Selection
film-095,festival-003,Festival,Shortlisted,2025,Experimental Programme
film-095,festival-014,Festival,Longlisted,2026,Official Programme
film-095,festival-025,Festival,Official Selection,2025,Documentary Competition
film-096,festival-006,Festival,Longlisted,2012,Audience Selection
film-096,festival-017,Festival,Official Selection,2013,New Voices
film-096,festival-028,Festival,Official Selection,2012,Animation Competition
film-096,festival-039,Festival,Official Selection,2013,Audience Selection
film-097,festival-009,Festival,Official Selection,2019,Official Programme
film-097,award-001,Award,Nominated,2019,Short Film
film-098,festival-012,Festival,Official Selection,2026,New Voices
film-098,festival-023,Festival,Official Selection,2027,Animation Competition
film-099,festival-015,Festival,Official Selection,2013,Documentary Competition
film-099,festival-026,Festival,Nominated,2014,Experimental Programme
film-099,festival-037,Festival,Winner,2013,Official Programme
film-100,festival-018,Festival,Nominated,2020,Animation Competition
film-100,festival-029,Festival,Winner,2021,Audience Selection
film-100,festival-040,Festival,Special Mention,2020,New Voices
film-100,festival-011,Festival,Shortlisted,2021,Animation Competition
film-101,festival-021,Festival,Winner,2010,Experimental Programme
film-101,award-005,Award,Winner,2010,Short Film
film-102,festival-024,Festival,Special Mention,2014,Audience Selection
film-102,festival-035,Festival,Shortlisted,2015,New Voices
film-103,festival-027,Festival,Shortlisted,2021,Official Programme
film-103,festival-038,Festival,Longlisted,2022,Documentary Competition
film-103,festival-009,Festival,Official Selection,2021,Experimental Programme
film-104,festival-030,Festival,Longlisted,2010,New Voices
film-104,festival-001,Festival,Official Selection,2011,Animation Competition
film-104,festival-012,Festival,Official Selection,2010,Audience Selection
film-104,festival-023,Festival,Official Selection,2011,New Voices
film-105,festival-033,Festival,Official Selection,2015,Documentary Competition
film-105,award-009,Award,Shortlisted,2015,Short Film
film-106,festival-036,Festival,Official Selection,2022,Animation Competition
film-106,festival-007,Festival,Official Selection,2023,Audience Selection
film-107,festival-039,Festival,Official Selection,2010,Experimental Programme
film-107,festival-010,Festival,Nominated,2011,Official Programme
film-107,festival-021,Festival,Winner,2010,Documentary Competition
film-108,festival-002,Festival,Nominated,2016,Audience Selection
film-108,festival-013,Festival,Winner,2017,New Voices
film-108,festival-024,Festival,Special Mention,2016,Animation Competition
film-108,festival-035,Festival,Shortlisted,2017,Audience Selection
film-109,festival-005,Festival,Winner,2023,Official Programme
film-109,award-001,Award,Nominated,2023,Short Film
film-110,festival-008,Festival,Special Mention,2010,New Voices
film-110,festival-019,Festival,Shortlisted,2011,Animation Competition
film-111,festival-011,Festival,Shortlisted,2017,Documentary Competition
film-111,festival-022,Festival,Longlisted,2018,Experimental Programme
film-111,festival-033,Festival,Official Selection,2017,Official Programme
film-112,festival-014,Festival,Longlisted,2024,Animation Competition
film-112,festival-025,Festival,Official Selection,2025,Audience Selection
film-112,festival-036,Festival,Official Selection,2024,New Voices
film-112,festival-007,Festival,Official Selection,2025,Animation Competition
film-113,festival-017,Festival,Official Selection,2011,Experimental Programme
film-113,award-005,Award,Winner,2011,Short Film
film-114,festival-020,Festival,Official Selection,2018,Audience Selection
film-114,festival-031,Festival,Official Selection,2019,New Voices
film-115,festival-023,Festival,Official Selection,2025,Official Programme
film-115,festival-034,Festival,Nominated,2026,Documentary Competition
film-115,festival-005,Festival,Winner,2025,Experimental Programme
film-116,festival-026,Festival,Nominated,2012,New Voices
film-116,festival-037,Festival,Winner,2013,Animation Competition
film-116,festival-008,Festival,Special Mention,2012,Audience Selection
film-116,festival-019,Festival,Shortlisted,2013,New Voices
film-117,festival-029,Festival,Winner,2019,Documentary Competition
film-117,award-009,Award,Shortlisted,2019,Short Film
film-118,festival-032,Festival,Special Mention,2026,Animation Competition
film-118,festival-003,Festival,Shortlisted,2027,Audience Selection
film-119,festival-035,Festival,Shortlisted,2013,Experimental Programme
film-119,festival-006,Festival,Longlisted,2014,Official Programme
