filmId,taxonomy,term
film-001,genre,Essay Film
film-001,theme,Memory
film-001,theme,Place
film-001,technique,Archive Footage
film-001,technique,16mm
film-001,form,Documentary
film-001,country,Ireland
film-001,storyLocation,Coast
film-002,genre,Coming of Age
film-002,theme,Family
film-002,theme,Belonging
film-002,technique,Natural Light
film-002,form,Drama
film-002,country,United Kingdom
film-002,storyLocation,Small Town
film-003,genre,Science Fiction
film-003,theme,Work
film-003,theme,Technology
film-003,technique,Stop Motion
film-003,technique,Miniatures
film-003,form,Animation
film-003,country,Estonia
film-003,storyLocation,Factory
film-004,genre,Music Film
film-004,theme,Community
film-004,theme,Place
film-004,technique,Field Recording
film-004,form,Documentary
film-004,country,United Kingdom
film-004,storyLocation,City
film-005,genre,Comedy
film-005,theme,Friendship
film-005,theme,Routine
film-005,technique,Single Location
film-005,form,Drama
film-005,country,United Kingdom
film-005,storyLocation,Suburb
film-006,genre,Dance Film
film-006,theme,Body
film-006,theme,Memory
film-006,technique,Choreography
film-006,technique,Super 8
film-006,form,Experimental
film-006,country,Portugal
film-006,storyLocation,Coast
film-007,genre,Science Fiction
film-007,theme,Climate
film-007,theme,Care
film-007,technique,Practical Effects
film-007,form,Drama
film-007,country,United Kingdom
film-007,storyLocation,Rural
film-008,genre,Comedy
film-008,theme,Strangers
film-008,theme,City
film-008,technique,Available Light
film-008,form,Drama
film-008,country,United Kingdom
film-008,storyLocation,City
film-009,genre,Fantasy
film-009,theme,Imagination
film-009,theme,Learning
film-009,technique,Paper Animation
film-009,form,Animation
film-009,country,Spain
film-009,storyLocation,School
film-010,genre,Architecture
film-010,theme,City
film-010,theme,Sound
film-010,technique,Field Recording
film-010,technique,Time-lapse
film-010,form,Documentary
film-010,country,Germany
film-010,storyLocation,City
film-011,genre,Romance
film-011,theme,Love
film-011,theme,Objects
film-011,technique,Macro Photography
film-011,form,Drama
film-011,country,France
film-011,storyLocation,City
film-012,genre,Essay Film
film-012,theme,Identity
film-012,theme,Landscape
film-012,technique,Double Exposure
film-012,form,Experimental
film-012,country,Iceland
film-012,storyLocation,Mountain
film-013,genre,Comedy
film-013,theme,Memory
film-013,theme,Objects
film-013,technique,Miniatures
film-013,form,Drama
film-013,country,Belgium
film-013,storyLocation,Museum
film-014,genre,Dance Film
film-014,theme,Work
film-014,theme,Body
film-014,technique,Choreography
film-014,technique,Long Take
film-014,form,Experimental
film-014,country,Netherlands
film-014,storyLocation,Factory
film-015,genre,Portrait
film-015,theme,Community
film-015,theme,Technology
film-015,technique,Archive Audio
film-015,form,Documentary
film-015,country,United Kingdom
film-015,storyLocation,Rural
film-016,genre,Mystery
film-016,theme,Grief
film-016,theme,Home
film-016,technique,Projection
film-016,form,Drama
film-016,country,Norway
film-016,storyLocation,Rural
film-017,genre,Experimental
film-017,theme,Light
film-017,theme,Time
film-017,technique,Drawn Animation
film-017,form,Animation
film-017,country,Finland
film-017,storyLocation,Domestic
film-018,genre,Environmental
film-018,theme,Climate
film-018,theme,Responsibility
film-018,technique,Drone Photography
film-018,form,Documentary
film-018,country,Wales
film-018,storyLocation,Mountain
film-019,genre,Fantasy
film-019,theme,Work
film-019,theme,Time
film-019,technique,Practical Effects
film-019,form,Drama
film-019,country,United Kingdom
film-019,storyLocation,Office
film-020,genre,Oral History
film-020,theme,Migration
film-020,theme,Memory
film-020,technique,Archive Footage
film-020,technique,Field Recording
film-020,form,Documentary
film-020,country,United Kingdom
film-020,storyLocation,City
film-021,genre,Coming of Age
film-021,theme,Friendship
film-021,theme,Place
film-021,technique,Super 8
film-021,form,Drama
film-021,country,Ireland
film-021,storyLocation,Coast
film-022,genre,Comedy
film-022,theme,Home
film-022,theme,Strangers
film-022,technique,Practical Effects
film-022,form,Drama
film-022,country,United Kingdom
film-022,storyLocation,Domestic
film-023,genre,Science Fiction
film-023,theme,Climate
film-023,theme,Youth
film-023,technique,Miniatures
film-023,technique,Projection
film-023,form,Drama
film-023,country,Canada
film-023,storyLocation,School
