id,name,slug,category,description
award-001,Fictional New Voice Award,fictional-new-voice-award,Direction,A fictional award recognising achievement in direction.
award-002,Fictional Craft Prize,fictional-craft-prize,Craft,A fictional award recognising achievement in craft.
award-003,Fictional Audience Award,fictional-audience-award,Audience,A fictional award recognising achievement in storytelling.
award-004,Fictional Jury Prize,fictional-jury-prize,Jury,A fictional award recognising achievement in performance.
award-005,Fictional Emerging Director Award,fictional-emerging-director-award,Documentary,A fictional award recognising achievement in documentary.
award-006,Fictional Visual Storytelling Prize,fictional-visual-storytelling-prize,Animation,A fictional award recognising achievement in animation.
award-007,Fictional Sound and Image Award,fictional-sound-and-image-award,Direction,A fictional award recognising achievement in direction.
award-008,Fictional Documentary Achievement,fictional-documentary-achievement,Craft,A fictional award recognising achievement in craft.
award-009,Fictional Animation Prize,fictional-animation-prize,Audience,A fictional award recognising achievement in storytelling.
award-010,Fictional Performance Award,fictional-performance-award,Jury,A fictional award recognising achievement in performance.
award-011,Fictional Editing Prize,fictional-editing-prize,Documentary,A fictional award recognising achievement in documentary.
award-012,Fictional Green Story Award,fictional-green-story-award,Animation,A fictional award recognising achievement in animation.
