id,name,slug,country,foundedYear
company-001,Lantern Field Films,lantern-field-films,United Kingdom,1998
company-002,Mothlight Works,mothlight-works,Netherlands,2001
company-003,Small Hours Studio,small-hours-studio,Canada,2004
company-004,North Window Pictures,north-window-pictures,Germany,2007
company-005,Common Thread Films,common-thread-films,France,2010
company-006,Open Current Works,open-current-works,Ireland,2013
company-007,Copper Frame Studio,copper-frame-studio,United Kingdom,2016
company-008,Soft Signal Pictures,soft-signal-pictures,Netherlands,2019
company-009,Night Orchard Films,night-orchard-films,Canada,2022
company-010,Drift Assembly Works,drift-assembly-works,Germany,2000
company-011,Blue Room Studio,blue-room-studio,France,2003
company-012,Quiet Engine Pictures,quiet-engine-pictures,Ireland,2006
company-013,Lantern Field Works,lantern-field-works,United Kingdom,2009
company-014,Mothlight Studio,mothlight-studio,Netherlands,2012
company-015,Small Hours Pictures,small-hours-pictures,Canada,2015
company-016,North Window Films,north-window-films,Germany,2018
company-017,Common Thread Works,common-thread-works,France,2021
company-018,Open Current Studio,open-current-studio,Ireland,1999
company-019,Copper Frame Pictures,copper-frame-pictures,United Kingdom,2002
company-020,Soft Signal Films,soft-signal-films,Netherlands,2005
company-021,Night Orchard Works,night-orchard-works,Canada,2008
company-022,Drift Assembly Studio,drift-assembly-studio,Germany,2011
company-023,Blue Room Pictures,blue-room-pictures,France,2014
company-024,Quiet Engine Films,quiet-engine-films,Ireland,2017
