id,name,slug,primaryRole,biography,country
person-001,Amina Adebayo,amina-adebayo,Director,Amina Adebayo is a fictional filmmaker whose work explores memory and place.,United Kingdom
person-002,Arlo Doyle,arlo-doyle,Producer,Arlo Doyle is a fictional filmmaker whose work explores performance and identity.,Brazil
person-003,Bea Ghosh,bea-ghosh,Cinematographer,Bea Ghosh is a fictional filmmaker whose work explores community histories.,Spain
person-004,Cass Jensen,cass-jensen,Editor,Cass Jensen is a fictional filmmaker whose work explores ecology and landscape.,Ireland
person-005,Dev Chen,dev-chen,Sound Designer,Dev Chen is a fictional filmmaker whose work explores movement and music.,Japan
person-006,Elian Flores,elian-flores,Animator,Elian Flores is a fictional filmmaker whose work explores technology and labour.,Netherlands
person-007,Farah Ito,farah-ito,Writer,Farah Ito is a fictional filmmaker whose work explores family and belonging.,France
person-008,Gia Bell,gia-bell,Production Designer,Gia Bell is a fictional filmmaker whose work explores architecture and public space.,Nigeria
person-009,Hugo El-Amin,hugo-el-amin,Director,Hugo El-Amin is a fictional filmmaker whose work explores memory and place.,Canada
person-010,Imani Haddad,imani-haddad,Producer,Imani Haddad is a fictional filmmaker whose work explores performance and identity.,Germany
person-011,Jonah Adebayo,jonah-adebayo,Cinematographer,,United Kingdom
person-012,Kira Doyle,kira-doyle,Editor,Kira Doyle is a fictional filmmaker whose work explores ecology and landscape.,Brazil
person-013,Amina Haddad,amina-haddad,Sound Designer,Amina Haddad is a fictional filmmaker whose work explores movement and music.,Spain
person-014,Arlo Adebayo,arlo-adebayo,Animator,Arlo Adebayo is a fictional filmmaker whose work explores technology and labour.,Ireland
person-015,Bea Doyle,bea-doyle,Writer,Bea Doyle is a fictional filmmaker whose work explores family and belonging.,Japan
person-016,Cass Ghosh,cass-ghosh,Production Designer,Cass Ghosh is a fictional filmmaker whose work explores architecture and public space.,Netherlands
person-017,Dev Jensen,dev-jensen,Director,Dev Jensen is a fictional filmmaker whose work explores memory and place.,France
person-018,Elian Chen,elian-chen,Producer,Elian Chen is a fictional filmmaker whose work explores performance and identity.,Nigeria
person-019,Farah Flores,farah-flores,Cinematographer,Farah Flores is a fictional filmmaker whose work explores community histories.,Canada
person-020,Gia Ito,gia-ito,Editor,Gia Ito is a fictional filmmaker whose work explores ecology and landscape.,Germany
person-021,Hugo Bell,hugo-bell,Sound Designer,Hugo Bell is a fictional filmmaker whose work explores movement and music.,United Kingdom
person-022,Imani El-Amin,imani-el-amin,Animator,,Brazil
