id,title,slug,year,published,editorialType,synopsis,runtimeSeconds,form,genres,themes,techniques,country,filmingCountry,storyLocation,shootingFormat,colour,aspectRatio,popularity,directorIds,companyIds,poster,posterAlt
film-001,The Quiet Cartographer,the-quiet-cartographer,2023,2023-01-01,Festival Coverage,A mapmaker records disappearing paths along a changing coastline.,684,Documentary,Essay Film,Memory|Place,Archive Footage|16mm,Ireland,Ireland,Coast,16mm,Colour,4:3,4,person-001,company-001,images/film-001.svg,Poster artwork for The Quiet Cartographer
film-002,Borrowed Weather,borrowed-weather,2024,2024-02-02,Interview,Two sisters invent a weather forecast to delay a difficult goodbye.,512,Drama,Coming of Age,Family|Belonging,Natural Light,United Kingdom,Wales,Small Town,Digital,Colour,1.85:1,5,person-002,company-002,images/film-002.svg,Poster artwork for Borrowed Weather
film-003,Soft Machines,soft-machines,2022,2022-03-03,Interview,Tiny machines continue their routines after the factory falls silent.,438,Animation,Science Fiction,Work|Technology,Stop Motion|Miniatures,Estonia,Estonia,Factory,Digital,Colour,16:9,3,person-003,company-003,images/film-003.svg,Poster artwork for Soft Machines
film-004,A Song for the Underpass,a-song-for-the-underpass,2025,2025-04-04,Interview,Musicians transform an overlooked pedestrian tunnel for one evening.,601,Documentary,Music Film,Community|Place,Field Recording,United Kingdom,England,City,Digital,Colour,16:9,4,person-004,company-004,images/film-004.svg,Poster artwork for A Song for the Underpass
film-005,Tuesday's Orbit,tuesday-s-orbit,2024,2024-05-05,Interview,A missed bin collection convinces two neighbours that time has stopped.,475,Drama,Comedy,Friendship|Routine,Single Location,United Kingdom,England,Suburb,Digital,Colour,1.85:1,5,person-005,company-005,images/film-005.svg,Poster artwork for Tuesday's Orbit
film-006,Salt Library,salt-library,2021,2021-06-06,Review,A dancer reconstructs a family story from gestures and tide marks.,,Experimental,Dance Film,Body|Memory,Choreography|Super 8,Portugal,Portugal,Coast,Super 8,Black and White,4:3,2,person-006,company-006,images/film-006.svg,Poster artwork for Salt Library
film-007,The Last Seed Catalogue,the-last-seed-catalogue,2025,2025-07-07,Interview,A gardener receives an impossible order from a town that no longer exists.,730,Drama,Science Fiction,Climate|Care,Practical Effects,United Kingdom,Scotland,Rural,Digital,Colour,2.39:1,4,person-007,company-007,images/film-007.svg,Poster artwork for The Last Seed Catalogue
film-008,Night Bus Etiquette,night-bus-etiquette,2023,2023-08-08,Festival Coverage,Passengers negotiate an unwritten rule after the last bus changes route.,389,Drama,Comedy,Strangers|City,Available Light,United Kingdom,England,City,Digital,Colour,16:9,3,person-008,company-008,images/film-008.svg,Poster artwork for Night Bus Etiquette
film-009,Paper Moons for Beginners,paper-moons-for-beginners,2020,2020-09-09,Interview,A pupil's astronomy homework opens a doorway into a paper universe.,547,Animation,Fantasy,Imagination|Learning,Paper Animation,Spain,Spain,School,Digital,Colour,4:3,3,person-009,company-009,images/film-009.svg,Poster artwork for Paper Moons for Beginners
film-010,Listening for Concrete,listening-for-concrete,2022,2022-10-10,Interview,Residents describe a housing estate through the sounds they notice.,802,Documentary,Architecture,City|Sound,Field Recording|Time-lapse,Germany,Germany,City,Digital,Colour,16:9,2,person-010,company-010,images/film-010.svg,Poster artwork for Listening for Concrete
film-011,Second-Hand Stars,second-hand-stars,2024,2024-11-11,Review,Two repair-shop workers exchange messages inside broken radios.,655,Drama,Romance,Love|Objects,Macro Photography,France,France,City,Digital,Colour,1.85:1,4,person-011,company-011,images/film-011.svg,Poster artwork for Second-Hand Stars
film-012,Instructions for Becoming Fog,instructions-for-becoming-fog,2025,2025-12-12,Interview,A narrator tests several unreliable methods for disappearing into weather.,,Experimental,Essay Film,Identity|Landscape,Double Exposure,Iceland,Iceland,Mountain,16mm,Black and White,4:3,3,person-012,company-012,,
film-013,The Museum of Small Accidents,the-museum-of-small-accidents,2021,2021-01-13,Interview,A curator secretly catalogues mishaps that visitors would rather forget.,596,Drama,Comedy,Memory|Objects,Miniatures,Belgium,Belgium,Museum,Digital,Colour,1.85:1,3,person-013,company-013,images/film-013.svg,Poster artwork for The Museum of Small Accidents
film-014,Blue Hour Assembly,blue-hour-assembly,2023,2023-02-14,Interview,Night-shift workers turn a changeover ritual into a wordless performance.,720,Experimental,Dance Film,Work|Body,Choreography|Long Take,Netherlands,Netherlands,Factory,Digital,Colour,16:9,4,person-014,company-014,images/film-014.svg,Poster artwork for Blue Hour Assembly
film-015,Radio Orchard,radio-orchard,2019,2019-03-15,Festival Coverage,An amateur broadcaster connects isolated growers through a homemade station.,845,Documentary,Portrait,Community|Technology,Archive Audio,United Kingdom,England,Rural,Digital,Colour,16:9,2,person-015,company-015,images/film-015.svg,Poster artwork for Radio Orchard
film-016,Forecast for an Empty House,forecast-for-an-empty-house,2022,2022-04-16,Review,Weather reports begin predicting events inside an abandoned family home.,533,Drama,Mystery,Grief|Home,Projection,Norway,Norway,Rural,Digital,Colour,2.39:1,4,person-016,company-016,images/film-016.svg,Poster artwork for Forecast for an Empty House
film-017,Three Minutes of Sun,three-minutes-of-sun,2024,2024-05-17,Interview,A room changes as winter sunlight crosses it for three brief minutes.,180,Animation,Experimental,Light|Time,Drawn Animation,Finland,Finland,Domestic,Digital,Colour,16:9,2,person-017,company-017,images/film-017.svg,Poster artwork for Three Minutes of Sun
film-018,How to Return a Mountain,how-to-return-a-mountain,2025,2025-06-18,Interview,A community debates what restoration should mean after a quarry closes.,770,Documentary,Environmental,Climate|Responsibility,Drone Photography,Wales,Wales,Mountain,Digital,Colour,2.39:1,5,person-018,company-018,images/film-018.svg,Poster artwork for How to Return a Mountain
film-019,The Department of Lost Thursdays,the-department-of-lost-thursdays,2023,2023-07-19,Interview,A junior clerk investigates weekdays that have vanished from the calendar.,490,Drama,Fantasy,Work|Time,Practical Effects,United Kingdom,England,Office,Digital,Colour,1.85:1,3,person-019,company-019,images/film-019.svg,Poster artwork for The Department of Lost Thursdays
film-020,Glasshouse Voices,glasshouse-voices,2020,2020-08-20,Interview,Former workers remember the many languages spoken inside a city greenhouse.,,Documentary,Oral History,Migration|Memory,Archive Footage|Field Recording,United Kingdom,England,City,Digital,Colour,16:9,4,person-020,company-020,,
film-021,Low Tide Cinema,low-tide-cinema,2021,2021-09-21,Review,Friends build a cinema on the beach and race the returning tide.,640,Drama,Coming of Age,Friendship|Place,Super 8,Ireland,Ireland,Coast,Super 8,Colour,4:3,3,person-021,company-021,images/film-021.svg,Poster artwork for Low Tide Cinema
film-022,A Very Minor Haunting,a-very-minor-haunting,2025,2025-10-22,Festival Coverage,A tenant negotiates house rules with a ghost who barely makes an effort.,425,Drama,Comedy,Home|Strangers,Practical Effects,United Kingdom,Scotland,Domestic,Digital,Colour,1.85:1,5,person-022,company-022,images/film-022.svg,Poster artwork for A Very Minor Haunting
film-023,Future Fossil Club,future-fossil-club,2024,2024-11-23,Interview,Students decide which everyday object should represent their century.,705,Drama,Science Fiction,Climate|Youth,Miniatures|Projection,Canada,Canada,School,Digital,Colour,2.39:1,4,person-023,company-023,images/film-023.svg,Poster artwork for Future Fossil Club
film-024,Breathing Room,breathing-room,2022,2022-12-24,Interview,Dancers search for private space inside a crowded transport network.,358,Experimental,Dance Film,Body|City,Choreography|Split Screen,United Kingdom,England,City,Digital,Black and White,16:9,3,person-024,company-024,images/film-024.svg,Poster artwork for Breathing Room
film-025,Electric Room,electric-room-025,2015,2015-01-25,Review,"A fictional documentary about community, home and an unexpected mountain encounter.",1212,Documentary,Portrait|Mystery,Community|Home|Belonging,16mm|Motion Capture,United Kingdom,Ireland,Factory,Mixed media,Colour,1:1,5,person-025,company-001,images/film-025.svg,Abstract poster artwork for Electric Room
film-026,Every Archive,every-archive-026,2022,2022-02-26,Curated Collection,"A fictional drama about grief, time and an unexpected school encounter.",,Drama,Dance Film|Music Film,Grief|Time|Work,Mixed Media|Miniatures,Brazil,Canada,Island,Digital,Colour,16:9,1,person-026,company-002,images/film-026.svg,Abstract poster artwork for Every Archive
film-027,Hidden Glass,hidden-glass-027,2009,2009-03-27,Festival Coverage,"A fictional animation about play, memory and an unexpected river encounter.",1378,Animation,Environmental|Social Realism,Play|Memory|Technology,Long Take|Archive Footage,France,Norway,Mountain,16mm,Black and white,4:3,2,person-027,company-003,images/film-027.svg,Abstract poster artwork for Hidden Glass
film-028,Last Moon,last-moon-028,2016,2016-04-01,Best of Fest,"A fictional experimental about power, place and an unexpected suburb encounter.",381,Experimental,Mystery|Essay Film,Power|Place|Migration,Found Sound|Natural Light,Nigeria,Spain,School,35mm,Colour,1.85:1,3,person-028,company-004,images/film-028.svg,Abstract poster artwork for Last Moon
