filmId,personId,role,character,billing
film-001,person-001,Director,,1
film-001,person-043,Producer,,2
film-001,person-044,Cinematography,,3
film-001,person-045,Editing,,4
film-002,person-002,Director,,1
film-002,person-050,Cinematography,,2
film-002,person-051,Editing,,3
film-002,person-052,Sound Design,,4
film-002,person-053,Music,,5
film-003,person-003,Director,,1
film-003,person-057,Editing,,2
film-003,person-058,Sound Design,,3
film-003,person-059,Music,,4
film-003,person-060,Production Design,,5
film-003,person-061,Producer,,6
film-004,person-004,Director,,1
film-004,person-064,Sound Design,,2
film-004,person-065,Music,,3
film-004,person-066,Production Design,,4
film-005,person-005,Director,,1
film-005,person-071,Music,,2
film-005,person-072,Production Design,,3
film-005,person-073,Producer,,4
film-005,person-074,Cinematography,,5
film-006,person-006,Director,,1
film-006,person-078,Production Design,,2
film-006,person-079,Producer,,3
film-006,person-080,Cinematography,,4
film-006,person-081,Editing,,5
film-006,person-082,Sound Design,,6
film-007,person-007,Director,,1
film-007,person-085,Producer,,2
film-007,person-086,Cinematography,,3
film-007,person-087,Editing,,4
film-008,person-008,Director,,1
film-008,person-092,Cinematography,,2
film-008,person-093,Editing,,3
film-008,person-094,Sound Design,,4
film-008,person-095,Music,,5
film-009,person-009,Director,,1
film-009,person-099,Editing,,2
film-009,person-100,Sound Design,,3
film-009,person-101,Music,,4
film-009,person-102,Production Design,,5
film-009,person-103,Producer,,6
film-010,person-010,Director,,1
film-010,person-106,Sound Design,,2
film-010,person-107,Music,,3
film-010,person-108,Production Design,,4
film-011,person-011,Director,,1
film-011,person-113,Music,,2
film-011,person-114,Production Design,,3
film-011,person-115,Producer,,4
film-011,person-116,Cinematography,,5
film-012,person-012,Director,,1
film-012,person-120,Production Design,,2
film-012,person-001,Producer,,3
film-012,person-002,Cinematography,,4
film-012,person-003,Editing,,5
film-012,person-004,Sound Design,,6
film-013,person-013,Director,,1
film-013,person-007,Producer,,2
film-013,person-008,Cinematography,,3
film-013,person-009,Editing,,4
film-014,person-014,Director,,1
film-014,person-014,Cinematography,,2
film-014,person-015,Editing,,3
film-014,person-016,Sound Design,,4
film-014,person-017,Music,,5
film-015,person-015,Director,,1
film-015,person-021,Editing,,2
film-015,person-022,Sound Design,,3
film-015,person-023,Music,,4
film-015,person-024,Production Design,,5
film-015,person-025,Producer,,6
film-016,person-016,Director,,1
film-016,person-028,Sound Design,,2
film-016,person-029,Music,,3
