id,name,slug,city,country,foundedYear,usualMonth,format,focus,description,website
festival-001,Northbank Short Film Festival,northbank-short-film-festival,Leeds,United Kingdom,1988,February,In-person|Online,Short film|New voices,A fictional festival presenting short film and new voices work to public and industry audiences.,https://example.com/festivals/northbank-short-film-festival
festival-002,Afterlight Short Film Festival,afterlight-short-film-festival,Dublin,Ireland,1995,May,In-person,Documentary|Social practice,A fictional festival presenting documentary and social practice work to public and industry audiences.,https://example.com/festivals/afterlight-short-film-festival
festival-003,New Current Short Film Festival,new-current-short-film-festival,Bristol,United Kingdom,2002,October,In-person,Animation|Experimental,A fictional festival presenting animation and experimental work to public and industry audiences.,https://example.com/festivals/new-current-short-film-festival
festival-004,Frame by Frame Short Film Festival,frame-by-frame-short-film-festival,Rotterdam,Netherlands,2009,March,In-person,Music video|Visual culture,A fictional festival presenting music video and visual culture work to public and industry audiences.,https://example.com/festivals/frame-by-frame-short-film-festival
festival-005,Small Worlds Short Film Festival,small-worlds-short-film-festival,Cardiff,United Kingdom,2016,June,In-person,Climate|Place,A fictional festival presenting climate and place work to public and industry audiences.,https://example.com/festivals/small-worlds-short-film-festival
festival-006,Coastline Short Film Festival,coastline-short-film-festival,Brighton,United Kingdom,1989,November,In-person|Online,Short film|New voices,A fictional festival presenting short film and new voices work to public and industry audiences.,https://example.com/festivals/coastline-short-film-festival
festival-007,Night Window Short Film Festival,night-window-short-film-festival,Glasgow,United Kingdom,1996,April,In-person,Documentary|Social practice,A fictional festival presenting documentary and social practice work to public and industry audiences.,https://example.com/festivals/night-window-short-film-festival
festival-008,Open Harbour Short Film Festival,open-harbour-short-film-festival,Cork,Ireland,2003,September,In-person,Animation|Experimental,A fictional festival presenting animation and experimental work to public and industry audiences.,https://example.com/festivals/open-harbour-short-film-festival
festival-009,Future Folk Short Film Festival,future-folk-short-film-festival,Manchester,United Kingdom,2010,February,In-person,Music video|Visual culture,A fictional festival presenting music video and visual culture work to public and industry audiences.,https://example.com/festivals/future-folk-short-film-festival
festival-010,Soft Focus Short Film Festival,soft-focus-short-film-festival,Ghent,Belgium,2017,May,In-person,Climate|Place,A fictional festival presenting climate and place work to public and industry audiences.,https://example.com/festivals/soft-focus-short-film-festival
festival-011,Field Notes Short Film Festival,field-notes-short-film-festival,Sheffield,United Kingdom,1990,October,In-person|Online,Short film|New voices,A fictional festival presenting short film and new voices work to public and industry audiences.,https://example.com/festivals/field-notes-short-film-festival
festival-012,Low Tide Short Film Festival,low-tide-short-film-festival,Galway,Ireland,1997,March,In-person,Documentary|Social practice,A fictional festival presenting documentary and social practice work to public and industry audiences.,https://example.com/festivals/low-tide-short-film-festival
festival-013,Parallel Lives Short Film Festival,parallel-lives-short-film-festival,Berlin,Germany,2004,June,In-person,Animation|Experimental,A fictional festival presenting animation and experimental work to public and industry audiences.,https://example.com/festivals/parallel-lives-short-film-festival
festival-014,New Atlas Short Film Festival,new-atlas-short-film-festival,Lisbon,Portugal,2011,November,In-person,Music video|Visual culture,A fictional festival presenting music video and visual culture work to public and industry audiences.,https://example.com/festivals/new-atlas-short-film-festival
festival-015,Quiet Revolutions Short Film Festival,quiet-revolutions-short-film-festival,Madrid,Spain,2018,April,In-person,Climate|Place,A fictional festival presenting climate and place work to public and industry audiences.,https://example.com/festivals/quiet-revolutions-short-film-festival
festival-016,Moving Ground Short Film Festival,moving-ground-short-film-festival,Oslo,Norway,1991,September,In-person|Online,Short film|New voices,A fictional festival presenting short film and new voices work to public and industry audiences.,https://example.com/festivals/moving-ground-short-film-festival
festival-017,Electric Bloom Short Film Festival,electric-bloom-short-film-festival,Montreal,Canada,1998,February,In-person,Documentary|Social practice,A fictional festival presenting documentary and social practice work to public and industry audiences.,https://example.com/festivals/electric-bloom-short-film-festival
festival-018,Common Light Short Film Festival,common-light-short-film-festival,Lagos,Nigeria,2005,May,In-person,Animation|Experimental,A fictional festival presenting animation and experimental work to public and industry audiences.,https://example.com/festivals/common-light-short-film-festival
festival-019,Crossing Point Short Film Festival,crossing-point-short-film-festival,Warsaw,Poland,2012,October,In-person,Music video|Visual culture,A fictional festival presenting music video and visual culture work to public and industry audiences.,https://example.com/festivals/crossing-point-short-film-festival
festival-020,Deep Time Short Film Festival,deep-time-short-film-festival,Reykjavik,Iceland,2019,March,In-person,Climate|Place,A fictional festival presenting climate and place work to public and industry audiences.,https://example.com/festivals/deep-time-short-film-festival
festival-021,Northbank Moving Image Week,northbank-moving-image-week,Leeds,United Kingdom,1992,June,In-person|Online,Short film|New voices,A fictional festival presenting short film and new voices work to public and industry audiences.,https://example.com/festivals/northbank-moving-image-week
festival-022,Afterlight Moving Image Week,afterlight-moving-image-week,Dublin,Ireland,1999,November,In-person,Documentary|Social practice,A fictional festival presenting documentary and social practice work to public and industry audiences.,https://example.com/festivals/afterlight-moving-image-week
festival-023,New Current Moving Image Week,new-current-moving-image-week,Bristol,United Kingdom,2006,April,In-person,Animation|Experimental,A fictional festival presenting animation and experimental work to public and industry audiences.,https://example.com/festivals/new-current-moving-image-week
festival-024,Frame by Frame Moving Image Week,frame-by-frame-moving-image-week,Rotterdam,Netherlands,2013,September,In-person,Music video|Visual culture,A fictional festival presenting music video and visual culture work to public and industry audiences.,https://example.com/festivals/frame-by-frame-moving-image-week
festival-025,Small Worlds Moving Image Week,small-worlds-moving-image-week,Cardiff,United Kingdom,2020,February,In-person,Climate|Place,A fictional festival presenting climate and place work to public and industry audiences.,https://example.com/festivals/small-worlds-moving-image-week
festival-026,Coastline Moving Image Week,coastline-moving-image-week,Brighton,United Kingdom,1993,May,In-person|Online,Short film|New voices,A fictional festival presenting short film and new voices work to public and industry audiences.,https://example.com/festivals/coastline-moving-image-week
festival-027,Night Window Moving Image Week,night-window-moving-image-week,Glasgow,United Kingdom,2000,October,In-person,Documentary|Social practice,A fictional festival presenting documentary and social practice work to public and industry audiences.,https://example.com/festivals/night-window-moving-image-week
festival-028,Open Harbour Moving Image Week,open-harbour-moving-image-week,Cork,Ireland,2007,March,In-person,Animation|Experimental,A fictional festival presenting animation and experimental work to public and industry audiences.,https://example.com/festivals/open-harbour-moving-image-week
festival-029,Future Folk Moving Image Week,future-folk-moving-image-week,Manchester,United Kingdom,2014,June,In-person,Music video|Visual culture,A fictional festival presenting music video and visual culture work to public and industry audiences.,https://example.com/festivals/future-folk-moving-image-week
festival-030,Soft Focus Moving Image Week,soft-focus-moving-image-week,Ghent,Belgium,2021,November,In-person,Climate|Place,A fictional festival presenting climate and place work to public and industry audiences.,https://example.com/festivals/soft-focus-moving-image-week
festival-031,Field Notes Moving Image Week,field-notes-moving-image-week,Sheffield,United Kingdom,1994,April,In-person|Online,Short film|New voices,A fictional festival presenting short film and new voices work to public and industry audiences.,https://example.com/festivals/field-notes-moving-image-week
festival-032,Low Tide Moving Image Week,low-tide-moving-image-week,Galway,Ireland,2001,September,In-person,Documentary|Social practice,A fictional festival presenting documentary and social practice work to public and industry audiences.,https://example.com/festivals/low-tide-moving-image-week
festival-033,Parallel Lives Moving Image Week,parallel-lives-moving-image-week,Berlin,Germany,2008,February,In-person,Animation|Experimental,A fictional festival presenting animation and experimental work to public and industry audiences.,https://example.com/festivals/parallel-lives-moving-image-week
festival-034,New Atlas Moving Image Week,new-atlas-moving-image-week,Lisbon,Portugal,2015,May,In-person,Music video|Visual culture,A fictional festival presenting music video and visual culture work to public and industry audiences.,https://example.com/festivals/new-atlas-moving-image-week
festival-035,Quiet Revolutions Moving Image Week,quiet-revolutions-moving-image-week,Madrid,Spain,1988,October,In-person,Climate|Place,A fictional festival presenting climate and place work to public and industry audiences.,https://example.com/festivals/quiet-revolutions-moving-image-week
festival-036,Moving Ground Moving Image Week,moving-ground-moving-image-week,Oslo,Norway,1995,March,In-person|Online,Short film|New voices,A fictional festival presenting short film and new voices work to public and industry audiences.,https://example.com/festivals/moving-ground-moving-image-week
festival-037,Electric Bloom Moving Image Week,electric-bloom-moving-image-week,Montreal,Canada,2002,June,In-person,Documentary|Social practice,A fictional festival presenting documentary and social practice work to public and industry audiences.,https://example.com/festivals/electric-bloom-moving-image-week
festival-038,Common Light Moving Image Week,common-light-moving-image-week,Lagos,Nigeria,2009,November,In-person,Animation|Experimental,A fictional festival presenting animation and experimental work to public and industry audiences.,https://example.com/festivals/common-light-moving-image-week
festival-039,Crossing Point Moving Image Week,crossing-point-moving-image-week,Warsaw,Poland,2016,April,In-person,Music video|Visual culture,A fictional festival presenting music video and visual culture work to public and industry audiences.,https://example.com/festivals/crossing-point-moving-image-week
festival-040,Deep Time Moving Image Week,deep-time-moving-image-week,Reykjavik,Iceland,1989,September,In-person,Climate|Place,A fictional festival presenting climate and place work to public and industry audiences.,https://example.com/festivals/deep-time-moving-image-week
