id,title,slug,year,published,editorialType,synopsis,runtimeSeconds,form,genres,themes,techniques,country,filmingCountry,storyLocation,shootingFormat,colour,aspectRatio,popularity,directorIds,companyIds,poster,posterAlt
film-01,The Quiet Cartographer,the-quiet-cartographer,2023,2023-01-01,Festival Coverage,A mapmaker records disappearing paths along a changing coastline.,684,Documentary,Essay Film,Memory|Place,Archive Footage|16mm,Ireland,Ireland,Coast,16mm,Colour,4:3,4,person-01,company-01,images/film-01.svg,Poster artwork for The Quiet Cartographer
film-02,Borrowed Weather,borrowed-weather,2024,2024-02-02,Interview,Two sisters invent a weather forecast to delay a difficult goodbye.,512,Drama,Coming of Age,Family|Belonging,Natural Light,United Kingdom,Wales,Small Town,Digital,Colour,1.85:1,5,person-05,company-05,images/film-02.svg,Poster artwork for Borrowed Weather
film-03,Soft Machines,soft-machines,2022,2022-03-03,Interview,Tiny machines continue their routines after the factory falls silent.,438,Animation,Science Fiction,Work|Technology,Stop Motion|Miniatures,Estonia,Estonia,Factory,Digital,Colour,16:9,3,person-04,company-02,images/film-03.svg,Poster artwork for Soft Machines
film-04,A Song for the Underpass,a-song-for-the-underpass,2025,2025-04-04,Interview,Musicians transform an overlooked pedestrian tunnel for one evening.,601,Documentary,Music Film,Community|Place,Field Recording,United Kingdom,England,City,Digital,Colour,16:9,4,person-03,company-03,images/film-04.svg,Poster artwork for A Song for the Underpass
film-05,Tuesday's Orbit,tuesday-s-orbit,2024,2024-05-05,Interview,A missed bin collection convinces two neighbours that time has stopped.,475,Drama,Comedy,Friendship|Routine,Single Location,United Kingdom,England,Suburb,Digital,Colour,1.85:1,5,person-08,company-04,images/film-05.svg,Poster artwork for Tuesday's Orbit
film-06,Salt Library,salt-library,2021,2021-06-06,Review,A dancer reconstructs a family story from gestures and tide marks.,,Experimental,Dance Film,Body|Memory,Choreography|Super 8,Portugal,Portugal,Coast,Super 8,Black and White,4:3,2,person-06,company-01,images/film-06.svg,Poster artwork for Salt Library
film-07,The Last Seed Catalogue,the-last-seed-catalogue,2025,2025-07-07,Interview,A gardener receives an impossible order from a town that no longer exists.,730,Drama,Science Fiction,Climate|Care,Practical Effects,United Kingdom,Scotland,Rural,Digital,Colour,2.39:1,4,person-07,company-05,images/film-07.svg,Poster artwork for The Last Seed Catalogue
film-08,Night Bus Etiquette,night-bus-etiquette,2023,2023-08-08,Festival Coverage,Passengers negotiate an unwritten rule after the last bus changes route.,389,Drama,Comedy,Strangers|City,Available Light,United Kingdom,England,City,Digital,Colour,16:9,3,person-02,company-04,images/film-08.svg,Poster artwork for Night Bus Etiquette
film-09,Paper Moons for Beginners,paper-moons-for-beginners,2020,2020-09-09,Interview,A pupil's astronomy homework opens a doorway into a paper universe.,547,Animation,Fantasy,Imagination|Learning,Paper Animation,Spain,Spain,School,Digital,Colour,4:3,3,person-04,company-02,images/film-09.svg,Poster artwork for Paper Moons for Beginners
film-10,Listening for Concrete,listening-for-concrete,2022,2022-10-10,Interview,Residents describe a housing estate through the sounds they notice.,802,Documentary,Architecture,City|Sound,Field Recording|Time-lapse,Germany,Germany,City,Digital,Colour,16:9,2,person-03,company-03,images/film-10.svg,Poster artwork for Listening for Concrete
film-11,Second-Hand Stars,second-hand-stars,2024,2024-11-11,Review,Two repair-shop workers exchange messages inside broken radios.,655,Drama,Romance,Love|Objects,Macro Photography,France,France,City,Digital,Colour,1.85:1,4,person-05,company-05,images/film-11.svg,Poster artwork for Second-Hand Stars
film-12,Instructions for Becoming Fog,instructions-for-becoming-fog,2025,2025-12-12,Interview,A narrator tests several unreliable methods for disappearing into weather.,,Experimental,Essay Film,Identity|Landscape,Double Exposure,Iceland,Iceland,Mountain,16mm,Black and White,4:3,3,person-01,company-01,,
